Pointages AviMeca
t;x;y
(s);(m);(m)
0.000;-1.42E-1;9.96E-2
0.033;-1.32E-1;1.13E-1
0.067;-1.21E-1;1.24E-1
0.100;-1.07E-1;1.36E-1
0.133;-9.30E-2;1.46E-1
0.167;-7.80E-2;1.54E-1
0.200;-6.18E-2;1.60E-1
0.233;-4.56E-2;1.65E-1
0.267;-2.88E-2;1.70E-1
0.300;-1.14E-2;1.72E-1
0.333;6.00E-3;1.73E-1
0.367;2.34E-2;1.71E-1
0.400;3.96E-2;1.67E-1
0.433;5.76E-2;1.63E-1
0.467;7.26E-2;1.57E-1
0.500;8.88E-2;1.49E-1
0.533;1.03E-1;1.40E-1
0.567;1.16E-1;1.29E-1
0.600;1.28E-1;1.18E-1
0.633;1.39E-1;1.04E-1
0.667;1.49E-1;9.00E-2
0.700;1.58E-1;7.56E-2
0.733;1.65E-1;6.00E-2
0.767;1.70E-1;4.38E-2
0.800;1.73E-1;2.82E-2
0.833;1.76E-1;1.26E-2
0.867;1.76E-1;-4.80E-3
0.900;1.75E-1;-2.16E-2
0.933;1.73E-1;-3.78E-2
0.967;1.69E-1;-5.40E-2
1.000;1.63E-1;-6.90E-2
1.033;1.57E-1;-8.40E-2
1.067;1.48E-1;-9.84E-2
1.100;1.39E-1;-1.10E-1
1.133;1.28E-1;-1.24E-1
1.167;1.16E-1;-1.35E-1
1.200;1.03E-1;-1.44E-1
1.233;9.00E-2;-1.53E-1
1.267;7.50E-2;-1.60E-1
1.300;5.94E-2;-1.67E-1
1.333;4.50E-2;-1.72E-1
1.367;2.94E-2;-1.75E-1
1.400;1.20E-2;-1.76E-1
1.433;-2.40E-3;-1.78E-1
1.467;-1.86E-2;-1.76E-1
1.500;-3.54E-2;-1.72E-1
